customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
1,CUST-9-A9Z--A,Thomas,Smith,bad_email,07632163,92 Livingston Anchorage,,Petersonville,VIC,9483,AU,-43.063048,121.306436,2014-01-03,2024-01-14T20:26:03,False,True
2,CUST-Z-0-0--A,Levi,Gomez,bad_email,(08) 8059 6024,Apt. 042 84 Williams Ronde,,East Michelle,SA,0964,AU,-43.032836,145.899775,2014-02-28,2024-05-15T01:34:55,False,True
3,CUST--9-AZ0-Z,Kevin,Roberts,colemanholly@example.com,+61 3 5864 9477,Suite 604 7 Harris Arcade,,Lambertshire,QLD,2950,AU,-35.335163,127.205049,2000-09-04,2024-11-21T13:16:59,False,True
4,CUST-999-ZA99,Beth,Jones,bryan35@example.org,+61-475-842-421,Suite 507 7 Angela Motorway,,New Joseph,NT,2619,AU,-34.746088,139.526478,1979-09-14,2024-12-16T11:48:24,False,True
5,CUST---ZZ0-AA,David,Gonzalez,jilljacobson@example.org,08 3919 9498,81 Emily Little,,Port Kevin,QLD,0920,AU,-42.603697,141.799559,2008-05-09,2024-05-14T21:17:02,False,True
6,CUST-0AAZ--A-,Paul,Hines,amberellis@example.net,0832356663,5/710 Jessica Pocket,,Lake Eric,QLD,2821,AU,-39.319501,122.056565,2009-08-19,2024-01-06T04:10:14,False,True
7,CUST-A0Z9Z-0Z,Joshua,Watson,daniellejennings@example.com,+61349753810,Level 1 39 Amanda Byway,,Lanebury,NSW,2935,AU,-41.015552,137.557980,2014-08-19,2024-04-11T05:33:52,False,True
8,CUST--ZZAA-A0,Anthony,Sanchez,lesliecummings@example.com,+61-431-989-695,Flat 97 81 Alvarez Highway,,South Rebeccaville,WA,2920,AU,-34.220155,133.308247,1971-04-13,2024-03-06T17:18:16,False,True
9,CUST----909--,Mary,Reed,abutler@example.org,(07).3716.9871,0/7 Perez Ridgeway,,Brendanfurt,ACT,2670,AU,-41.753027,125.523422,2012-10-11,2024-10-10T08:22:41,False,False
10,CUST-A9Z9AAA-,Luis,Roberts,coxautumn@example.org,0459 869 773,95/608 Herbert Elbow,,Lake Rhondaborough,NT,6124,AU,-35.176169,135.048466,1981-10-19,2024-08-30T14:49:14,False,True
11,CUST-909A000Z,Paul,Tran,baxtershawn@example.org,02.8240.1453,3 Baker Causeway,,South Kennethview,QLD,9123,AU,-39.513865,128.875266,1984-12-27,2024-08-24T09:05:42,False,True
12,CUST----AAA9A,Casey,Hunt,bevans@example.org,(08) 7865 3548,5 Cannon Heights,,Jaredland,TAS,4814,AU,-43.978446,127.616870,2000-10-26,2024-05-26T15:24:04,False,True
13,CUST-099-Z---,Jocelyn,Krause,bad_email,(07).8401.1185,940 Anna Retreat,,West Billystad,NT,3481,AU,-38.158224,132.114015,2007-08-25,2024-03-21T02:04:15,False,True
14,CUST-A-A--09A,Richard,Clark,jonesbrian@example.org,+61.8.1597.5864,166 Meyer Expressway,,South Melissamouth,NT,0806,AU,-41.957408,140.647672,1981-05-31,2024-05-15T14:24:36,True,True
15,CUST-A-0A-A0Z,Katie,Mejia,coreymartinez@example.net,6110 3955,Unit 12 72 Morgan Trail,,North Cheryl,ACT,2959,AU,-35.207298,126.781084,1974-02-25,2024-08-12T19:46:40,False,True
16,CUST--99-Z9AA,Teresa,Webb,gonzalezlauren@example.com,0376830379,8 Paul Siding,,West Bettyborough,VIC,2668,AU,-36.823878,120.143892,1983-09-07,2024-09-15T17:47:12,False,True
17,CUST-AZA0AZA9,Zachary,Torres,davisjessica@example.org,+61-8-4202-9715,72/736 Bradley Quays,,Ferrellside,NSW,2197,AU,-42.881261,149.802038,1973-05-16,2024-10-06T01:18:42,False,True
18,CUST-ZAZ--0ZA,Laurie,Bailey,carly47@example.net,+61-413-242-329,Flat 07 052 Estrada Vista,,Jenningsfort,SA,2004,AU,-36.505224,149.030553,1981-03-28,2024-03-24T06:26:46,False,False
19,CUST-09--Z99Z,Deborah,Johnson,julieali@example.org,(03) 2642 4935,Flat 77 480 Carrie Quadrangle,,Anthonyport,WA,2763,AU,-35.794636,146.852921,1979-12-31,2024-01-13T07:01:53,False,True
20,CUST--9-ZZ9A0,Alicia,Williams,bad_email,0320594905,Suite 859 21 Kane River,,South Courtneyton,NT,2217,AU,-38.034287,125.827484,1988-02-21,2024-08-11T22:04:17,False,True
21,CUST-9-0A--ZA,Dustin,Wang,washingtonpatricia@example.org,0402-164-572,95/136 Jenna Path,,Katietown,ACT,2771,AU,-42.753747,148.001873,2005-06-30,2024-06-07T14:52:08,False,True
22,CUST---00999-,Keith,Lam,ycook@example.net,+61 8 1233 0127,132/826 Nolan Part,,Collinstown,QLD,2619,AU,-41.898173,143.430353,2014-06-05,2024-12-01T11:43:57,False,True
23,CUST-9-AZ0--9,Tanya,Hunter,bad_email,+61-8-2809-3615,425/0 Flores Cruiseway,,Mooreberg,NSW,2605,AU,-41.551575,131.005454,1966-07-14,2024-08-21T15:05:21,False,True
24,CUST-00-909-9,John,Sanford,bad_email,(03).4213.6508,517 Pamela Reach,,Greenebury,ACT,2945,AU,-41.508017,145.933454,2000-12-13,2024-03-09T16:55:01,False,True
25,CUST-0-09--Z-,Robert,Miles,tyler13@example.net,+61-8-2092-2697,765 Joy Ride,,South Karenmouth,NT,2942,AU,-41.226886,143.106993,2003-06-23,2024-11-16T08:42:38,False,True
26,CUST---ZZAZ-Z,Pamela,Smith,steinjason@example.com,+61335819168,Flat 03 522 Victoria Centreway,,North Gene,ACT,2667,AU,-38.573889,128.630969,1978-07-22,2024-08-03T14:10:49,False,True
